#Archive/File	Name	Time	Size	Type
Archive	GSE27011_RAW.tar	01/17/2013 15:00:01	227532800	TAR
File	GSM665386.CEL.gz	02/02/2011 10:15:29	4317100	CEL
File	GSM665387.CEL.gz	02/02/2011 10:15:32	4159773	CEL
File	GSM665388.CEL.gz	02/02/2011 10:15:36	4160570	CEL
File	GSM665389.CEL.gz	02/02/2011 10:15:39	4300321	CEL
File	GSM665390.CEL.gz	02/02/2011 10:15:42	4224672	CEL
File	GSM665391.CEL.gz	02/02/2011 10:15:45	4100887	CEL
File	GSM665392.CEL.gz	02/02/2011 10:15:48	4068812	CEL
File	GSM665393.CEL.gz	02/02/2011 10:15:52	4212008	CEL
File	GSM665394.CEL.gz	02/02/2011 10:15:55	4195919	CEL
File	GSM665395.CEL.gz	02/02/2011 10:15:59	4255759	CEL
File	GSM665396.CEL.gz	02/02/2011 10:16:02	4117029	CEL
File	GSM665397.CEL.gz	02/02/2011 10:16:06	4193771	CEL
File	GSM665398.CEL.gz	02/02/2011 10:16:09	4197414	CEL
File	GSM665399.CEL.gz	02/02/2011 10:16:12	4171040	CEL
File	GSM665400.CEL.gz	02/02/2011 10:16:15	4360560	CEL
File	GSM665401.CEL.gz	02/02/2011 10:16:18	4212912	CEL
File	GSM665402.CEL.gz	02/02/2011 10:16:21	4111613	CEL
File	GSM665403.CEL.gz	02/02/2011 10:16:24	4261728	CEL
File	GSM665404.CEL.gz	02/02/2011 10:16:28	4200135	CEL
File	GSM665405.CEL.gz	02/02/2011 10:16:31	4130252	CEL
File	GSM665406.CEL.gz	02/02/2011 10:16:34	4232986	CEL
File	GSM665407.CEL.gz	02/02/2011 10:16:37	4178341	CEL
File	GSM665408.CEL.gz	02/02/2011 10:16:42	4129866	CEL
File	GSM665409.CEL.gz	02/02/2011 10:16:46	4320485	CEL
File	GSM665410.CEL.gz	02/02/2011 10:16:50	4300375	CEL
File	GSM665411.CEL.gz	02/02/2011 10:16:54	4129519	CEL
File	GSM665412.CEL.gz	02/02/2011 10:16:57	4156407	CEL
File	GSM665413.CEL.gz	02/02/2011 10:17:00	4149114	CEL
File	GSM665414.CEL.gz	02/02/2011 10:17:04	4219726	CEL
File	GSM665415.CEL.gz	02/02/2011 10:17:07	4302755	CEL
File	GSM665416.CEL.gz	02/02/2011 10:17:10	4172371	CEL
File	GSM665417.CEL.gz	02/02/2011 10:17:14	4103442	CEL
File	GSM665418.CEL.gz	02/02/2011 10:17:17	4231004	CEL
File	GSM665419.CEL.gz	02/02/2011 10:17:21	4171680	CEL
File	GSM665420.CEL.gz	02/02/2011 10:17:24	4209907	CEL
File	GSM665421.CEL.gz	02/02/2011 10:17:29	4189303	CEL
File	GSM665422.CEL.gz	02/02/2011 10:17:33	4215382	CEL
File	GSM665423.CEL.gz	02/02/2011 10:17:38	4178653	CEL
File	GSM665424.CEL.gz	02/02/2011 10:17:42	4195872	CEL
File	GSM665425.CEL.gz	02/02/2011 10:17:46	4378650	CEL
File	GSM665426.CEL.gz	02/02/2011 10:17:49	4229237	CEL
File	GSM665427.CEL.gz	02/02/2011 10:17:54	4117310	CEL
File	GSM665428.CEL.gz	02/02/2011 10:17:57	4222971	CEL
File	GSM665429.CEL.gz	02/02/2011 10:18:01	4190332	CEL
File	GSM665430.CEL.gz	02/02/2011 10:18:04	4147595	CEL
File	GSM665431.CEL.gz	02/02/2011 10:18:08	4373659	CEL
File	GSM665432.CEL.gz	02/02/2011 10:18:11	4135411	CEL
File	GSM665433.CEL.gz	02/02/2011 10:18:15	4245243	CEL
File	GSM665434.CEL.gz	02/02/2011 10:18:18	4253410	CEL
File	GSM665435.CEL.gz	02/02/2011 10:18:21	4233995	CEL
File	GSM665436.CEL.gz	02/02/2011 10:18:25	4273776	CEL
File	GSM665437.CEL.gz	02/02/2011 10:18:30	4320482	CEL
File	GSM665438.CEL.gz	02/02/2011 10:18:35	4325637	CEL
File	GSM665439.CEL.gz	02/02/2011 10:18:39	4300198	CEL
